NodeID LeftNode RightNode FeatureId Threshold
0 1 32 1 3.5
1 2 23 5 5.5
2 3 14 7 3.5
3 4 11 0 6.5
4 5 6 1 2.5
5 -5 -5 -2 -2.0
6 7 8 5 2.5
7 -5 -5 -2 -2.0
8 9 10 0 4.0
9 -5 -5 -2 -2.0
10 -5 -5 -2 -2.0
11 12 13 5 2.5
12 -5 -5 -2 -2.0
13 -5 -5 -2 -2.0
14 15 16 2 2.5
15 -5 -5 -2 -2.0
16 17 18 5 4.5
17 -5 -5 -2 -2.0
18 19 20 3 2.0
19 -5 -5 -2 -2.0
20 21 22 4 3.0
21 -5 -5 -2 -2.0
22 -5 -5 -2 -2.0
23 24 25 0 2.0
24 -5 -5 -2 -2.0
25 26 27 3 4.5
26 -5 -5 -2 -2.0
27 28 29 7 4.5
28 -5 -5 -2 -2.0
29 30 31 6 5.0
30 -5 -5 -2 -2.0
31 -5 -5 -2 -2.0
32 33 36 5 0.5
33 34 35 0 6.5
34 -5 -5 -2 -2.0
35 -5 -5 -2 -2.0
36 37 48 1 4.5
37 38 47 5 7.5
38 39 46 0 9.0
39 40 41 3 3.5
40 -5 -5 -2 -2.0
41 42 45 2 5.0
42 43 44 3 7.5
43 -5 -5 -2 -2.0
44 -5 -5 -2 -2.0
45 -5 -5 -2 -2.0
46 -5 -5 -2 -2.0
47 -5 -5 -2 -2.0
48 49 54 3 1.5
49 50 53 0 7.0
50 51 52 6 5.0
51 -5 -5 -2 -2.0
52 -5 -5 -2 -2.0
53 -5 -5 -2 -2.0
54 55 60 7 2.5
55 56 57 7 1.5
56 -5 -5 -2 -2.0
57 58 59 6 5.5
58 -5 -5 -2 -2.0
59 -5 -5 -2 -2.0
60 -5 -5 -2 -2.0
