NodeID LeftNode RightNode FeatureId Threshold
0 1 32 1 3.5
1 2 23 5 5.5
2 3 14 7 3.5
3 4 11 0 6.5
4 5 6 1 2.5
5 -5 -5 -2 -2.0
6 7 8 5 2.5
7 -5 -5 -2 -2.0
8 9 10 4 2.5
9 -5 -5 -2 -2.0
10 -5 -5 -2 -2.0
11 12 13 5 2.5
12 -5 -5 -2 -2.0
13 -5 -5 -2 -2.0
14 15 16 2 2.5
15 -5 -5 -2 -2.0
16 17 18 5 4.5
17 -5 -5 -2 -2.0
18 19 22 0 5.5
19 20 21 0 3.5
20 -5 -5 -2 -2.0
21 -5 -5 -2 -2.0
22 -5 -5 -2 -2.0
23 24 25 0 2.0
24 -5 -5 -2 -2.0
25 26 27 3 4.5
26 -5 -5 -2 -2.0
27 28 29 7 4.5
28 -5 -5 -2 -2.0
29 30 31 1 2.5
30 -5 -5 -2 -2.0
31 -5 -5 -2 -2.0
32 33 36 5 0.5
33 34 35 0 6.5
34 -5 -5 -2 -2.0
35 -5 -5 -2 -2.0
36 37 50 1 4.5
37 38 49 5 7.5
38 39 48 3 6.0
39 40 41 0 6.0
40 -5 -5 -2 -2.0
41 42 47 5 6.0
42 43 46 5 1.5
43 44 45 3 3.5
44 -5 -5 -2 -2.0
45 -5 -5 -2 -2.0
46 -5 -5 -2 -2.0
47 -5 -5 -2 -2.0
48 -5 -5 -2 -2.0
49 -5 -5 -2 -2.0
50 51 56 3 1.5
51 52 55 0 7.0
52 53 54 4 5.5
53 -5 -5 -2 -2.0
54 -5 -5 -2 -2.0
55 -5 -5 -2 -2.0
56 57 62 7 2.5
57 58 59 7 1.5
58 -5 -5 -2 -2.0
59 60 61 0 6.5
60 -5 -5 -2 -2.0
61 -5 -5 -2 -2.0
62 -5 -5 -2 -2.0
